resid,question_id,scale,original_response,final_response,validated,action_taken,reverse_coded
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_1,likert5,5,5,,not_checked,0
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_2,likert5,3,3,,not_checked,0
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_3,likert5,4,4,,not_checked,0
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_4,likert5,2,2,,not_checked,0
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_5,likert5,4,4,,not_checked,0
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_6,likert5,2,2,,not_checked,0
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_7,likert5,4,4,,not_checked,0
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_8,likert5,2,2,,not_checked,0
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_9,likert5,2,2,,not_checked,0
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_10,likert5,2,2,,not_checked,0
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_11,likert5,3,3,,not_checked,0
24aa68b6-c7d4-4a16-b6af-80ed859360b5,prca_12,likert5,4,4,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_1,likert5,3,3,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_2,likert5,4,4,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_3,likert5,4,4,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_4,likert5,4,4,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_5,likert5,3,3,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_6,likert5,3,3,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_7,likert5,1,1,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_8,likert5,4,4,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_9,likert5,3,3,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_10,likert5,4,4,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_11,likert5,4,4,,not_checked,0
8339a60d-9bbf-4fb5-bbb3-5afc5fc1937d,prca_12,likert5,3,3,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_1,likert5,2,2,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_2,likert5,4,4,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_3,likert5,2,2,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_4,likert5,5,5,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_5,likert5,1,1,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_6,likert5,4,4,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_7,likert5,2,2,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_8,likert5,4,4,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_9,likert5,2,2,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_10,likert5,4,4,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_11,likert5,5,5,,not_checked,0
656cfc48-89bd-4847-aa2f-b17969a3a4a9,prca_12,likert5,1,1,,not_checked,0
