resid,question_id,scale,original_response,final_response,validated,action_taken,reverse_coded
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_1,likert5,4,4,,not_checked,0
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_2,likert5,4,4,,not_checked,0
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_3,likert5,4,4,,not_checked,0
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_4,likert5,3,3,,not_checked,0
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_5,likert5,4,4,,not_checked,0
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_6,likert5,2,2,,not_checked,0
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_7,likert5,4,4,,not_checked,0
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_8,likert5,2,2,,not_checked,0
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_9,likert5,4,4,,not_checked,0
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_10,likert5,2,2,,not_checked,0
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_11,likert5,2,2,,not_checked,0
a07e5698-27e2-44ad-812d-ffdf5c65be76,prca_12,likert5,4,4,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_1,likert5,3,3,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_2,likert5,4,4,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_3,likert5,3,3,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_4,likert5,5,5,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_5,likert5,4,4,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_6,likert5,4,4,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_7,likert5,3,3,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_8,likert5,4,4,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_9,likert5,2,2,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_10,likert5,3,3,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_11,likert5,4,4,,not_checked,0
25078c22-7dc2-47e6-ae87-f6b232941922,prca_12,likert5,2,2,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_1,likert5,4,4,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_2,likert5,2,2,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_3,likert5,5,5,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_4,likert5,1,1,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_5,likert5,5,5,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_6,likert5,2,2,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_7,likert5,5,5,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_8,likert5,2,2,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_9,likert5,5,5,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_10,likert5,2,2,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_11,likert5,1,1,,not_checked,0
b704f103-1124-499f-9f22-b4268519ae99,prca_12,likert5,4,4,,not_checked,0
22c0f617-14bd-4742-a5fb-93ea48a4ee6b,prca_1,likert5,1,1,,not_checked,0
22c0f617-14bd-4742-a5fb-93ea48a4ee6b,prca_2,likert5,4,4,,not_checked,0
