resid,question_id,scale,original_response,final_response,validated,action_taken,reverse_coded
962c160e-c6b1-423c-b135-19711deb881c,prca_1,likert5,2,2,,not_checked,0
962c160e-c6b1-423c-b135-19711deb881c,prca_2,likert5,4,4,,not_checked,0
962c160e-c6b1-423c-b135-19711deb881c,prca_3,likert5,1,1,,not_checked,0
962c160e-c6b1-423c-b135-19711deb881c,prca_4,likert5,2,2,,not_checked,0
962c160e-c6b1-423c-b135-19711deb881c,prca_5,likert5,1,1,,not_checked,0
962c160e-c6b1-423c-b135-19711deb881c,prca_6,likert5,5,5,,not_checked,0
962c160e-c6b1-423c-b135-19711deb881c,prca_7,likert5,4,4,,not_checked,0
962c160e-c6b1-423c-b135-19711deb881c,prca_8,likert5,4,4,,not_checked,0
962c160e-c6b1-423c-b135-19711deb881c,prca_9,likert5,2,2,,not_checked,0
962c160e-c6b1-423c-b135-19711deb881c,prca_10,likert5,5,5,,not_checked,0
962c160e-c6b1-423c-b135-19711deb881c,prca_11,likert5,3,3,,not_checked,0
962c160e-c6b1-423c-b135-19711deb881c,prca_12,likert5,3,3,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_1,likert5,5,5,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_2,likert5,5,5,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_3,likert5,2,2,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_4,likert5,2,2,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_5,likert5,3,3,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_6,likert5,1,1,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_7,likert5,4,4,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_8,likert5,2,2,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_9,likert5,1,1,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_10,likert5,3,3,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_11,likert5,2,2,,not_checked,0
db91ac4a-ff8b-460c-93ee-8672b2185f4d,prca_12,likert5,3,3,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_1,likert5,2,2,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_2,likert5,5,5,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_3,likert5,5,5,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_4,likert5,4,4,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_5,likert5,1,1,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_6,likert5,4,4,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_7,likert5,3,3,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_8,likert5,3,3,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_9,likert5,1,1,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_10,likert5,5,5,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_11,likert5,4,4,,not_checked,0
3ec8cbfc-c3f4-41d9-86a5-20467ad3ecff,prca_12,likert5,1,1,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_1,likert5,5,5,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_2,likert5,4,4,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_3,likert5,2,2,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_4,likert5,5,5,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_5,likert5,3,3,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_6,likert5,2,2,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_7,likert5,2,2,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_8,likert5,5,5,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_9,likert5,2,2,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_10,likert5,5,5,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_11,likert5,2,2,,not_checked,0
b85024e2-af35-4a25-9eec-f1cc7b745598,prca_12,likert5,4,4,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_1,likert5,3,3,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_2,likert5,5,5,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_3,likert5,4,4,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_4,likert5,3,3,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_5,likert5,4,4,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_6,likert5,2,2,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_7,likert5,5,5,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_8,likert5,5,5,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_9,likert5,1,1,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_10,likert5,4,4,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_11,likert5,4,4,,not_checked,0
f0bfda35-4304-47d8-b0b6-30b3c3ccc9e5,prca_12,likert5,1,1,,not_checked,0
032222d6-19c0-4ccc-a4e5-242f7ff5e7bd,prca_1,likert5,2,2,,not_checked,0
032222d6-19c0-4ccc-a4e5-242f7ff5e7bd,prca_2,likert5,2,2,,not_checked,0
032222d6-19c0-4ccc-a4e5-242f7ff5e7bd,prca_3,likert5,5,5,,not_checked,0
032222d6-19c0-4ccc-a4e5-242f7ff5e7bd,prca_4,likert5,1,1,,not_checked,0
032222d6-19c0-4ccc-a4e5-242f7ff5e7bd,prca_5,likert5,5,5,,not_checked,0
032222d6-19c0-4ccc-a4e5-242f7ff5e7bd,prca_6,likert5,4,4,,not_checked,0
