dataset,model,created_by,response_scale,num_respondents,num_questions,total_cells,cleansed,cells_cleaned,cells_nan,parse_success_pct,top_nan_reason,cleanse_date
PRCA_LLM_AgreementScale.csv,llama3.2:latest,Prof. AR Nelson,agreement,100,12,1200,TRUE,1102,98,91.8,Ambiguous or unstructured response without Likert code (52/98),3/19/2026
PRCA_LLM_FrequencyScale.csv,llama3.2:latest,Prof. AR Nelson,frequency,100,12,1200,TRUE,1122,78,93.5,LLM refusal (content policy / off-topic rejection) (59/78),3/19/2026
PRCA_dolphin.csv,dolphin3:latest,Fall Data,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,3/26/2026
PRCA_gemma3n.csv,gemma3n:latest,Fall Data,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,3/26/2026
PRCA_gemma_29_b.csv,gemma2:9b,Marek,agreement100,100,12,1200,TRUE,1200,0,100,No NaN values,4/8/2026
PRCA_gemma_29_b_top_p.csv,gemma2:9b,Marek,agreement100,100,12,1200,TRUE,1200,0,100,No NaN values,4/8/2026
PRCA_gpt_oss_20_b.csv,gpt-oss:20b,Marek,agreement,100,12,1200,TRUE,1200,0,100,No NaN values,4/8/2026
PRCA_llama31_8b_results.csv,llama3.1:8b,Dhruv,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,3/31/2026
PRCA_llama31_8b_results_agreement_100.csv,llama3.1:8b,Marek,agreement100,100,12,1200,TRUE,1196,4,99.7,Ambiguous or unstructured response without Likert code (4/4),4/8/2026
PRCA_llava-llama.csv,llava-llama3:latest,Fall Data,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,3/26/2026
PRCA_mistral.csv,mistral:latest,Fall Data,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,3/26/2026
PRCA_mistral_spring.csv,mistral,Jacob,frequency,100,16,1600,TRUE,1600,0,100,No NaN values,4/8/2026
PRCA_qwen3_59b_test_questions.csv,qwen3.5:9b,Prof. AR Nelson,frequency,100,16,1600,TRUE,1511,89,94.4,Left blank / originally empty (89/89),3/24/2026
PRCA_tinyllama1_b.csv,tinyllama:1.1b,Prof. AR Nelson,frequency,100,12,1200,TRUE,1145,55,95.4,Narrative response without extractable Likert code (35/55),3/21/2026
